Type1,VintageNew,ProductName,GradeNew,UsageInstructions
Bordeaux,,,,
1955,"Château Latour 1955, 1er Cru Classé, Pauillac",A1,"Drink, no hurry - 11/03",
1961,"Château Gruaud-Larose 1961, 2me Cru Classé, St Julien",A1,Drink slowly - 2/99. Drink slowly - 7/03,
1961,"Château Latour 1961, 1er Cru Classé, Pauillac",A1,Keep - 5th review 7/99. Keep - 2/07.,
1961,"Château Margaux 1961, 1er Cru Classé, Margaux",A1,Drink slowly - 8/86. Drink slowly - 5/02,
1962,"Château Latour 1962, 1er Cru Classé, Pauillac",A,Drink slowly - 01/08/86  No hurry to drink-2/97. Drink - 2/07,
1962,"Château Margaux 1962, 1er Cru Classé, Margaux",A,Drink slowly - 01/11/83. Drink 5/02,
1970,"Château Palmer 1970, Magnums, 3me Cru Classé, Margaux",A1,Drink slowly - 11/83 (and at review 8/86),
1970,"Château Pétrus 1970, Cru Exceptionnel, Pomerol",A1,Drink slowly - 8/86. Drink - 11/03,
1975,"Château Cheval Blanc 1975, 1er Grand Cru Classé, St Emilion",A,Drink - 3/92 (4th review) Keep - 11/94 Drink - 11/03,
1975,"Château Cheval Blanc 1975, Magnums, 1er Grand Cru Classé, St Emilion",A,Drink - 2/92 (4th review) Keep - 11/94,
1975,"Château Margaux 1975, 1er Cru Classé, Margaux",A,No hurry to drink(11/94). Drink slowly - 2/99. Use - 5/17.,
1975,"Château Palmer 1975, 3me Cru Classé, Margaux",B,Drink - 2/94 (5th review) Drink sparingly - 11/99 (6th Review),
1978,"Château Pétrus 1978, Cru Exceptionnel, Pomerol",A1,Drink slowly -(1st Review)- 2/94,
1979,"Château Margaux 1979, 1er Cru Classé, Margaux",A1,Keep - 2/95 (5th review)  Keep (7th review). Keep or use as needed - 5/17.,
1981,"Château Beychevelle 1981, 4me Cru Classé, St Julien",B,Drink - 2/91,
1981,"Château Cheval Blanc 1981, 1er Grand Cru Classé, St Emilion",A,Keep - 5/98. Can be drunk - 7/03,
1982,"Château Beychevelle 1982, Magnums, 4me Cru Classé, St Julien",A,Drink -5/98,
1982,"Château Margaux 1982, 1er Cru Classé, Margaux",A1,Keep - 8/87 (1st review) Keep - 3/92) (2nd review ) Keep - 2/95 (3rd review) Keep - 5/02 (4th review)  Keep - 5/07. Use as appropriate - 5/17.,
1983,"Château Cheval Blanc 1983, 1er Grand Cru Classé, St Emilion",A1,Keep- 3rd Review(5/98),
1983,"Château Margaux 1983, 1er Cru Classé, Margaux",A1,Keep - 8/87 (1st review) Keep - 12/90 (2nd review) Keep - 2/95 (3rd review),
1985,"Château Brane-Cantenac 1985, Magnums, 2me Cru Classé, Cantenac-Margaux",B,Drink - 9/89 (1st review) Drink - 5/00 (2nd review),
1985,"Château Cheval Blanc 1985, 1er Grand Cru Classé, St Emilion",A1,Keep - 9/89 (1st review) Keep - 3/92 (2nd review) Keep - 2/95 (3rd review) Drink if needed - 2/01 (4th review),
1985,"Château Gruaud-Larose 1985, 2me Cru Classé, St Julien",A,Keep - 8/89 ) (1st review) ) Keep - 3/92 ) (2nd review) Keep - 2/00.  Keep 5/00 (3rd review),
1985,"Château Margaux 1985, 1er Cru Classé, Margaux",A1,Drink - 2/99,
1986,"Château Beychevelle 1986, 4me Cru Classé, St Julien",B,Keep - 7/94 Keep until 2000 (2nd review) -5/98. Drink by 2004 - 7/01 (3rd Review). No rush - 6/06,
1986,"Château Cheval Blanc 1986, 1er Grand Cru Classé, St Emilion",A1,Keep - 2/91 (1st review) Keep - 2/94 (2nd review) Keep 5/98(3rd Review) Keep 2/01 (4th review) Use 5/07,
1986,"Château Cos d’Estournel 1986, Magnums, 2me Cru Classé, St Estèphe",A,Keep - 2/91 (1st review) Keep - 2/94 (2nd review) Keep-5/98 3rd Review. Keep - 7/01. Keep - 12/04. Keep - 5/08,
1986,"Château Giscours 1986, 3me Cru Classé, Labarde-Margaux",B,Drink - 7/01,
1986,"Château Margaux 1986, 1er Cru Classé, Margaux",A1,Keep - 2/91Keep-11/95 Keep - 5/01. Keep or sell - 3/12,
