Artworks,Artist,Century,Subject,Type,Posture,Orientation,Uncorrected WHR,Corrected WHR
The three Graces,Anonymous,-5.5,Grace,sculpture,standing,front,0.81,0.757
Aphrodite of Syracus,Praxitele,-4.5,Venus,sculpture,standing,front,0.806,0.753
Aphrodite of Cnidus,Praxitele,-4.5,Venus,sculpture,standing,front,0.798,0.746
Venus of the Capitol,Praxitele,-4.5,Venus,sculpture,standing,front,0.823,0.769
Aphrodite of Braschi,Praxitele,-4,Aphrodite,sculpture,standing,front,0.771,0.721
Aphrodite of Cnidus,Praxitele,-4,Aphrodite,sculpture,standing,mean,0.791,0.74
Venus of Arles,Praxitele,-4,Aphrodite,sculpture,standing,front,0.805,0.753
Crouching Venus,Anonymous,-3,Aphrodite,sculpture,sitting,profile,0.804,0.736
Aphrodite with a dolphin,Anonymous,-3,Aphrodite,sculpture,standing,mean,0.813,0.76
Aphrodite of Amisos,Anonymous,-2,Aphrodite,sculpture,lying,front,0.784,0.733
Venus de Milo,Anonymous,-1.5,Venus,sculpture,standing,mean,0.815,0.762
Medici Venus,Anonymous,-1,Aphrodite,sculpture,standing,mean,0.787,0.736
Medici Venus,Anonymous,-1,Aphrodite,sculpture,standing,front,0.806,0.754
Aphrodite,Antistios,-1,Aphrodite,sculpture,standing,front,0.781,0.73
Aphrodite,Diphilos,-1,Aphrodite,sculpture,standing,front,0.795,0.743
Aphrodite of Soli,Anonymous,-0.5,Venus,sculpture,standing,front,0.821,0.767
Aphrodite of Menophantos,Menophantos,-0.5,Venus,sculpture,standing,front,0.797,0.745
Aphrodite,Anonymous,0,Venus,sculpture,standing,mean,0.849,0.793
Aphrodite,Anonymous,0,Venus,sculpture,standing,mean,0.816,0.762
The Toilet of Venus,Anonymous,0,Aphrodite,sculpture,standing,mean,0.792,0.74
Aphrodite of Artemonos,Artemonos,0,Aphrodite,sculpture,sitting,front,0.788,0.721
Aphrodite of Cnidus,Diphilos,0,Aphrodite,sculpture,standing,front,0.763,0.713
Aphrodite and Eros,Molas,0.5,Aphrodite,sculpture,standing,front,0.845,0.79
Venus anadyomene,Anonymous,1,Venus,painting,lying,front,0.791,0.727
Crouching Venus,Anonymous,1.5,Aphrodite,sculpture,sitting,front,0.814,0.745
Aphrodite,Anonymous,1.5,Venus,sculpture,standing,mean,0.763,0.714
Venus of Arles,Anonymous,1.5,Venus,sculpture,standing,back,0.767,0.735
Venus of Amiens,Velazquez,1.5,Venus,sculpture,standing,front,0.799,0.747
Crouching Venus,Anonymous,2,Aphrodite,sculpture,sitting,profile,0.794,0.726
Crouching Venus,Anonymous,2,Aphrodite,sculpture,sitting,profile,0.825,0.755
Venus of Esquilin,Anonymous,2,Venus,sculpture,standing,mean,0.803,0.751
Aphrodite with a turtle,Anonymous,3,Venus,sculpture,standing,front,0.751,0.702
The Birth of Venus,Anonymous,3,Venus,painting,lying,front,0.782,0.718
Venus,Anonymous,4,Venus,painting,sitting,profile,0.813,0.731
Adam and Eve,Masolino,15,Eve,painting,standing,front,0.795,0.73
The Birth of Venus,Botticelli,15.5,Venus,painting,standing,front,0.789,0.724
Primavera,Botticelli,15.5,Grace,painting,standing,back,0.83,0.781
Adam and Eve,Cleve,15.5,Eve,painting,standing,front,0.809,0.743
Venus,Credi,15.5,Venus,painting,standing,front,0.837,0.77
Venus and Cupid with a Satyr,Allegri,16,Venus,painting,lying,profile,0.813,0.747
Aphrodite of Modesty,Anonymous,16,Venus,sculpture,standing,front,0.773,0.722
The three Graces,Baldung,16,Grace,painting,standing,front,0.765,0.702
Venus and Cupid,Baldung,16,Venus,painting,standing,front,0.755,0.693
