NestID,Num,FEDate,EntDate,FoFDate,Fail,Fail Cat,Aban,NeHW,NeCB,NnHW,NnCB,NfHW,NfCB,xLong,yLat,EntAge,FoFAge,NDays,Year,Mo,FEDay,CBP,fYear,CBHatch,SurHat?
PP-31,1,5/22/13,5/22/13,5/23/13,1,Yes,0,1,0,0,0,0,0,-79.93467,41.77365,0,1,1,2013,5,22,No,y2013,0,0
Z-21,1,5/23/13,5/23/13,6/8/13,1,Yes,0,2,0,0,0,0,0,-79.94226,41.77987,0,16,16,2013,5,23,No,y2013,0,0
W-23,1,5/23/13,5/23/13,6/7/13,1,Yes,0,4,1,0,0,0,0,-79.94153,41.78115,0,15,15,2013,5,23,Yes,y2013,0,0
CC-27,1,5/23/13,5/24/13,6/15/13,0,No,0,4,0,2,0,2,0,-79.93824,41.77895,1,23,22,2013,5,23,No,y2013,0,1
JJ-31,1,5/23/13,5/27/13,6/6/13,1,Yes,0,4,0,0,0,0,0,-79.93505,41.77596,4,14,10,2013,5,23,No,y2013,0,0
PP-40 (King Road),1,5/23/13,5/25/13,6/8/13,1,Yes,0,3,1,0,0,0,0,-79.93023,41.77331,2,16,14,2013,5,23,Yes,y2013,0,0
J-14,1,5/24/13,5/24/13,6/14/13,1,Yes,0,3,1,3,0,0,0,-79.94814,41.78653,0,21,21,2013,5,24,Yes,y2013,0,1
Y-19,1,5/24/13,5/24/13,6/18/13,0,No,0,3,1,3,0,3,0,-79.94417,41.78011,0,25,25,2013,5,24,Yes,y2013,0,1
DD-22,1,5/24/13,5/24/13,6/11/13,1,Yes,0,2,1,0,0,0,0,-79.94208,41.77829,0,18,18,2013,5,24,Yes,y2013,0,0
BB-24,1,5/24/13,5/24/13,6/16/13,0,No,0,3,0,3,0,3,0,-79.94028,41.77894,0,23,23,2013,5,24,No,y2013,0,1
NN-34,1,5/24/13,5/25/13,6/4/13,1,Yes,0,4,0,0,0,0,0,-79.93317,41.77436,1,11,10,2013,5,24,No,y2013,0,0
