Row,Keep,Genus_species,Common_name,Activity_pattern,Main1,Locomotion,mean_Male_Galan,mean_Female_Galan,Superfamily,Order,Family,Genus,Notes
2,0,Allocebus_trichotis,Hairy-eared Dwarf Lemur,Nocturnal,FFMM,AR,0.092,0.084,Lemuroidea,Primates,Cheirogaleidae,Allocebus,
6,0,Cercopithecus_preussi,Preuss's Monkey,Diurnal,MFF,T,4.7,2.9,Cercopithecoidea,Primates,Cercopithecidae,Cercopithecus,
10,0,Alouatta_caraya,Paranguyan Howler Monkey,Diurnal,FFMM,AR,6.42,4.33,Ceboidea,Primates,Atelidae,Alouatta,
20,0,Alouatta_discolor,Spix's Howler Monkey,Diurnal,MFF,AR,7.25,5.5,Ceboidea,Primates,Atelidae,Alouatta,
22,0,Alouatta_guariba,Brown Howler Monkey,Diurnal,MFF,AR,6.73,4.35,Ceboidea,Primates,Atelidae,Alouatta,
31,0,Alouatta_palliata,Mantled Howler Monkey,Diurnal,FFMM,AR,6.96,5.28,Ceboidea,Primates,Atelidae,Alouatta,
39,0,Alouatta_pigra,Central American Black Howler Monkey,Diurnal,FFMM,AR,7.505,5.608,Ceboidea,Primates,Atelidae,Alouatta,
46,0,Alouatta_sara,Bolivian Red Howler Monkey,Diurnal,MFF,AR,NA,NA,Ceboidea,Primates,Atelidae,Alouatta,
48,0,Alouatta_seniculus,Colombian Red Howler Monkey,Diurnal,FFMM,AR,6.66,5.18,Ceboidea,Primates,Atelidae,Alouatta,
54,0,Aotus_azarae,Azara's Night Monkey,Cathemeral,MF, ,NA,NA,Ceboidea,Primates,Cebidae,Aotus,
63,0,Aotus_nigriceps,Black-headed Night Monkey,Nocturnal,MF,AR,0.875,1.04,Ceboidea,Primates,Cebidae,Aotus,
67,0,Aotus_zonalis,Panamanian Night Monkey,Nocturnal,MF,AR,0.889,0.916,Ceboidea,Primates,Cebidae,Aotus,
72,1,Ateles_belzebuth,White-bellied Spider Monkey,Diurnal,FFMM,AR,8.26,7.88,Ceboidea,Primates,Atelidae,Ateles,
76,0,Ateles_chamek,Black Spider Monkey,Diurnal,FFMM,AR,9.41,9.33,Ceboidea,Primates,Atelidae,Ateles,
80,0,Ateles_geoffroyi,Central American Spider Monkey,Diurnal,FFMM,AR,7.45,7.64,Ceboidea,Primates,Atelidae,Ateles,
88,0,Ateles_hybridus,Variegated Spider Monkey,Diurnal,FFMM,AR,8.25,9,Ceboidea,Primates,Atelidae,Ateles,
91,0,Ateles_marginatus,White-Whiskered Spider Monkey,Diurnal,FFMM,AR,10.4,5.824,Ceboidea,Primates,Atelidae,Ateles,
96,0,Avahi_laniger,Eastern Wooly Lemur,Nocturnal,MF,AR,1.03,1.32,Lemuroidea,Primates,Indriidae,Avahi,
98,0,Avahi_meridionalis,Southern Wooly Lemur,Nocturnal,MF,AR,1.1,1.2,Lemuroidea,Primates,Indriidae,Avahi,
101,0,Avahi_occidentalis,Western Wooly Lemur,Nocturnal,MF,AR,0.814,0.777,Lemuroidea,Primates,Indriidae,Avahi,
106,0,Brachyteles_arachnoides,Southern Muriqui,Diurnal,FFMM,AR,9.61,8.07,Ceboidea,Primates,Atelidae,Brachyteles,
109,0,Brachyteles_hypoxanthus,Northern Muriqui,Diurnal,FFMM,AR,9.6,8.4,Ceboidea,Primates,Atelidae,Brachyteles,
111,0,Cacajao_calvus,Red Uakari Monkey / Bald Uakari,Diurnal,FFMM,AR,3.45,2.88,Ceboidea,Primates,Pitheciidae,Cacajao,
114,0,Cacajao_melanocephalus,Golden Backed Uakari,Diurnal,FFMM,AR,3.16,2.7335,Ceboidea,Primates,Pitheciidae,Cacajao,
119,0,Callicebus_coimbrai,Coimbra-Filho's Titi Monkey,Diurnal,MF,AR,NA,1.165,Ceboidea,Primates,Pitheciidae,Callicebus,
122,0,Callicebus_melanochir,Southern Bahian Titi Monkey,Diurnal,MF,AR,NA,1.4,Ceboidea,Primates,Pitheciidae,Callicebus,
124,0,Callicebus_nigrifrons,Black-fronted Titi Monkey,Diurnal,MF,AR,NA,NA,Ceboidea,Primates,Pitheciidae,Callicebus,
126,0,Callicebus_personatus,Masked Titi Monkey,Diurnal,MF,AR,1.27,1.378,Ceboidea,Primates,Pitheciidae,Callicebus,
129,0,Callimico_goeldii,Goeldi's Monkey,Diurnal,MF,AR,0.499,0.468,Ceboidea,Primates,Cebidae,Callimico,
133,0,Callithrix_aurita,Buffy-tufted-ear Marmoset,Diurnal,MF_MFF,AR,0.453,0.431,Ceboidea,Primates,Cebidae,Callithrix,
136,0,Callithrix_flaviceps,Buffy-headed Marmoset,Diurnal,FFMM,AR,0.43,0.43,Ceboidea,Primates,Cebidae,Callithrix,
140,1,Callithrix_jacchus,Common Marmoset,Diurnal,FFMM,AR,0.317,0.324,Ceboidea,Primates,Cebidae,Callithrix,
147,0,Callithrix_penicillata,Black-tufted-ear Marmoset,Diurnal,MFF,AR,0.344,0.307,Ceboidea,Primates,Cebidae,Callithrix,
151,0,Cebus_albifrons,Ecuadorian White-fronted Capuchin,Diurnal,FFMM,AR,2.65,1.7,Ceboidea,Primates,Cebidae,Cebus,
157,0,Cebus_albifrons,Humboldt's White-fronted Capuchin,Diurnal,MFF,BOTH,3.18,2.29,Ceboidea,Primates,Cebidae,Cebus,o
160,0,Cebus_capucinus,Colombian White-faced Capuchin,Diurnal,FFMM,AR,3.68,2.54,Ceboidea,Primates,Cebidae,Cebus,
167,0,Cebus_kaapori,Ka'apor Capuchin,Diurnal,FFMM,AR,3,2.4,Ceboidea,Primates,Cebidae,Cebus,
170,0,Cebus_olivaceus,Guianan Weeper Capuchin,Diurnal,MFF,AR,3.24,2.52,Ceboidea,Primates,Cebidae,Cebus,
173,0,Cercocebus_agilis,Agile Mangabey,Diurnal,MFF,BOTH,9.5,5.66,Cercopithecoidea,Primates,Cercopithecidae,Cercocebus,
176,0,Cercocebus_atys,Sooty Mangabey,Diurnal,FFMM,T,11,6.2,Cercopithecoidea,Primates,Cercopithecidae,Cercocebus,
179,0,Cercocebus_galeritus,Tana River/ Crested Mangabey,Diurnal,FFMM,BOTH,9.61,5.26,Cercopithecoidea,Primates,Cercopithecidae,Cercocebus,
181,0,Cercocebus_atys,White napped Mangabey,Diurnal,MFF,T,9.45,5.1,Cercopithecoidea,Primates,Cercopithecidae,Cercocebus,
183,0,Cercocebus_sanjei,Sanje Mangabey,Diurnal,FFMM,BOTH,10.3,5.8,Cercopithecoidea,Primates,Cercopithecidae,Cercocebus,
185,0,Cercocebus_torquatus,Red capped Mangabey,Diurnal,FFMM,BOTH,9.47,5.5,Cercopithecoidea,Primates,Cercopithecidae,Cercocebus,
187,1,Cercopithecus_ascanius,Red-tailed Monkey/Guenon,Diurnal,MFF,AR,3.69,2.79,Cercopithecoidea,Primates,Cercopithecidae,Cercopithecus,
192,0,Cercopithecus_campbelli,Campbell's Monkey/Guenon,Diurnal,MFF,AR,4.5,2.7,Cercopithecoidea,Primates,Cercopithecidae,Cercopithecus,o
194,0,Cercopithecus_cephus,Moustached Monkey/Guenon,Diurnal,MF,AR,4.09,2.88,Cercopithecoidea,Primates,Cercopithecidae,Cercopithecus,
196,0,Cercopithecus_pogonias,Crowned Monkey,Diurnal,MFF,AR,4.25,2.83,Cercopithecoidea,Primates,Cercopithecidae,Cercopithecus,
198,0,Cercopithecus_diana,Diana Monkey,Diurnal,MFF,AR,5.2,3.9,Cercopithecoidea,Primates,Cercopithecidae,Cercopithecus,
202,0,Cercopithecus_erythrogaster,White-throated Monkey,Diurnal,MFF,AR,4,3,Cercopithecoidea,Primates,Cercopithecidae,Cercopithecus,
206,0,Cercopithecus_campbelli,Lowe's Monkey,Diurnal,MFF,AR,5.2,2.6,Cercopithecoidea,Primates,Cercopithecidae,Cercopithecus,
208,0,Cercopithecus_mitis,Blue Monkey,Diurnal,MFF,AR,5.85,3.93,Cercopithecoidea,Primates,Cercopithecidae,Cercopithecus,
215,0,Cercopithecus_mona,Mona Monkey,Diurnal,MFF,AR,5.067,3,Cercopithecoidea,Primates,Cercopithecidae,Cercopithecus,
217,0,Cercopithecus_neglectus,De Brazza's' Monkey,Diurnal,MF,BOTH,7.35,4.13,Cercopithecoidea,Primates,Cercopithecidae,Cercopithecus,
220,0,Cercopithecus_nictitans,Greater spot-nosed Monkey,Diurnal,MFF,AR,6.67,4.25,Cercopithecoidea,Primates,Cercopithecidae,Cercopithecus,
223,0,Cercopithecus_petaurista,Lesser spot-nosed Monkey,Diurnal,MFF,AR,4.4,2.9,Cercopithecoidea,Primates,Cercopithecidae,Cercopithecus,
225,0,Cercopithecus_diana,Roloway Monkey,Diurnal,FFMM,AR,5.2,3.9,Cercopithecoidea,Primates,Cercopithecidae,Cercopithecus,o
230,0,Cheirogaleus_major,Greater Dwarf Lemur,Nocturnal,MF,AR,0.5746,0.4433,Lemuroidea,Primates,Cheirogaleidae,Cheirogaleus,
232,0,Cheirogaleus_medius,Fat Tailed Dwarf Lemur,Nocturnal,MF,AR,NA,NA,Lemuroidea,Primates,Cheirogaleidae,Cheirogaleus,
238,0,Callicebus_lugens,White-chested Titi Monkey,Diurnal,MF,AR,1.49,1.26,Ceboidea,Primates,Pitheciidae,Callicebus,
243,0,Callicebus_torquatus,White-collared Titi Monkey,Diurnal,MF,AR,1.28,1.21,Ceboidea,Primates,Pitheciidae,Callicebus,
250,0,Chiropotes_satanas,Black Saki,Diurnal,FFMM,AR,3.1,2.96,Ceboidea,Primates,Pitheciidae,Chiropotes,
254,0,Chlorocebus_aethiops,Grivet Monkey,Diurnal,FFMM,T,5.77,3.53,Cercopithecoidea,Primates,Cercopithecidae,Chlorocebus,
261,1,Chlorocebus_pygerythrus,Vervet Monkey,Diurnal,FFMM,T,4.28,2.98,Cercopithecoidea,Primates,Cercopithecidae,Chlorocebus,
268,0,Colobus_angolensis,Black-and-White Angolian Colobus,Diurnal,MFF,AR,9.8,7.4,Cercopithecoidea,Primates,Cercopithecidae,Colobus,
276,0,Colobus_guereza,Black-and-White Colobus / Mantled Guereza,Diurnal,MFF,AR,9.89,7.9,Cercopithecoidea,Primates,Cercopithecidae,Colobus,
284,0,Colobus_polykomos,King Colobus,Diurnal,MFF,AR,9.9,8.3,Cercopithecoidea,Primates,Cercopithecidae,Colobus,
286,0,Colobus_satanas,Black Colobus,Diurnal,FFMM,AR,10.4,7.42,Cercopithecoidea,Primates,Cercopithecidae,Colobus,
290,0,Colobus_vellerosus,Ursine Colobus / Geoffroyís pied colobus,Diurnal,FFMM,AR,8.5,6.9,Cercopithecoidea,Primates,Cercopithecidae,Colobus,
292,0,Daubentonia_madagascariensis,Aye-Aye,Nocturnal,solitary,AR,2.62,2.49,Lemuroidea,Primates,Daubentoniidae,Daubentonia,
294,0,Erythrocebus_patas,Patas Monkey,Diurnal,MFF,T,12.4,6.5,Cercopithecoidea,Primates,Cercopithecidae,Erythrocebus,
301,0,Eulemur_collaris,Red-collared Brown Lemur,Cathemeral,FFMM,AR,2.07,2.217,Lemuroidea,Primates,Lemuridae,Eulemur,
305,0,Eulemur_flavifrons,Blue-eyed Black Lemur,Cathemeral,FFMM,AR,1.88,1.76,Lemuroidea,Primates,Lemuridae,Eulemur,
307,0,Eulemur_fulvus,Brown Lemur,Cathemeral,FFMM,AR,1.95,2.15,Lemuroidea,Primates,Lemuridae,Eulemur,
309,0,Eulemur_macaco,Black Lemur,Cathemeral,FFMM,AR,2.115,2.095,Lemuroidea,Primates,Lemuridae,Eulemur,
311,0,Eulemur_mongoz,Mongoose Lemur,Cathemeral_Diurnal_Nocturnal,MF,AR,1.41,1.56,Lemuroidea,Primates,Lemuridae,Eulemur,
313,0,Eulemur_rubriventer,Red-bellied Lemur,Cathemeral,MF,AR,2.067,1.96,Lemuroidea,Primates,Lemuridae,Eulemur,
315,0,Eulemur_rufifrons,Red-fronted Brown Lemur,Cathemeral,FFMM,AR,2.178,2.251,Lemuroidea,Primates,Lemuridae,Eulemur,
317,0,Eulemur_rufus,Rufous Brown Lemur,Cathemeral,FFMM,AR,2.165,2.27,Lemuroidea,Primates,Lemuridae,Eulemur,
334,0,Galagoides_zanzibaricus,Kenya Coast Dwarf Galago,Nocturnal,MF,AR,0.15,0.137,Lorisoidea,Primates,Galagidae,Galagoides,
336,1,Gorilla_beringei,Mountain Gorilla,Diurnal,FFMM,BOTH,162.5,97.5,Hominoidea,Primates,Hominidae,Gorilla,
339,0,Gorilla_gorilla,Western Lowland Gorilla,Diurnal,MFF,BOTH,NA,NA,Hominoidea,Primates,Hominidae,Gorilla,
346,0,Hapalemur_alaotrensis,Lac Alaotra Gentle Lemur,Cathemeral,MF,AR,NA,NA,Lemuroidea,Primates,Lemuridae,Hapalemur,
348,0,Hapalemur_aureus,Golden Bamboo Lemur,Diurnal,MF,AR,1.52,1.39,Lemuroidea,Primates,Lemuridae,Hapalemur,
350,0,Hapalemur_griseus,Gray Bamboo Lemur,Diurnal,MFF,AR,0.8675,0.7865,Lemuroidea,Primates,Lemuridae,Hapalemur,
352,0,Hapalemur_meridionalis,Southern Bamboo Lemur,Cathemeral_Diurnal,FFMM,AR,1.06875,1.075,Lemuroidea,Primates,Lemuridae,Hapalemur,
355,0,Hoolock_hoolock,Western Hoolock Gibbon,Diurnal,MF,AR,6.87,6.88,Hominoidea,Primates,Hylobatidae,Hoolock,
361,0,Hoolock_leuconedys,Eastern Hoolock Gibbon,Diurnal,MF,AR,NA,NA,Hominoidea,Primates,Hylobatidae,Hoolock,
