Full_Name,Student,Superfamily,Family,Common_name,Genus,Species,Scientific_name,Taxonomy_notes,Body_mass_male_mean,Body_mass_female_mean,Body_Mass_ref,Male_canine_size,Female_canine_size,Canine_Size_ref,Canine_dimorphism,Canine_Dimorphism_Ref,Social_organization,Social_Organization_ref,Detailed_mating_system,Mating_system,Social_System_ref,Mean_group_size,Social_Organization_Ref,Gestation,Life_History_Ref,Multiple_births,Combined_testis_mass,Testis_Mass_ref,Male_testis_size,Female_sexual_swelling,Female_Swelling_ref,Other_sexual_ornamentation,Copulation_calls,Copulation_Calls_ref,Same_sex_sexual_behavior,SSSB_ref,Baculum,Baubellum,Baculum_ref
Alouatta_palliata,Sabine,Ceboidea,Atelidae,Mantled Howler Monkey,Alouatta,palliata,Alouatta_palliata,,7150,5350,Isler et al 2008,14.58,8.56,Luepold et al 2019,1.703,Plavcan & Ruff 2008,FFMM,Olivier et al 2024,Harem Polygyny,Polygyny,co-evolve,12,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,186,Jones et al. 2009,0,24,Luepold et al 2019,,0,inferred,,,,0,Coxshall et al 2026,1,NA,inferred (A caraya)
Alouatta_caraya,German,Ceboidea,Atelidae,Paranguyan Howler Monkey,Alouatta,caraya,Alouatta_caraya,,6525,4240,Isler et al 2008,14.74,9.56,Luepold et al 2019,1.542,Plavcan & Ruff 2008,FFMM,Olivier et al 2024,Harem Polygyny,Polygyny,co-evolve,8,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,187,Jones et al. 2009,0,18.37,Luepold et al 2019,,0,inferred,,,,0,Coxshall et al 2026,1,0,Machida and Giacometti (1967) as reported in Spani et al 2021
Aotus_azarae_(azarai),,Ceboidea,Aotidae,Azara's Night Monkey,Aotus,azarai,Aotus_azarae,,1180,1230,Isler et al 2008,5.34,4.81,inferred (A trivirgatus),0,0,MF,Olivier et al 2024,Monogamy,,co-evolve,3.1,Garber et al. 2008,,Jones et al. 2009,0,1.2,inferred (A trivirgatus),,0,inferred,,,,0,Coxshall et al 2026,0,0,Hershkoviz (1977) as reported in Spani et al 2021
Aotus_lemurinus,Eric,Ceboidea,Aotidae,Gray-Bellied Night Monkey,Aotus,lemurinus,Aotus_lemurinus,,752.8,716.1,Isler et al 2008,5.34,4.81,inferred (A trivirgatus),1.171,Plavcan & Ruff 2008,MF,inferred,Monogamy,,co-evolve,,,135,Jones et al. 2009,0,1.2,inferred (A trivirgatus),,0,inferred,,,,0,Coxshall et al 2026,1,0,Dixson (2012); Hershkoviz (1977) as reported in Spani et al 2021
Ateles_geoffroyi,Nick,Ceboidea,Atelidae,Central American Spider Monkey,Ateles,geoffroyi,Ateles_geoffroyi,,7780,7290,Isler et al 2008,11.51,7.29,Luepold et al 2019,1.579,Plavcan & Ruff 2008,FFMM,Olivier et al 2024,Polygynandry,,co-evolve,15,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,232,Jones et al. 2009,0,13.4,Luepold et al 2019,,0,inferred,,,,1,Coxshall et al 2026,0,0,Wislocki (1936) as reported in Spani et al 2021
Ateles_belzebuth,Clarissa,Ceboidea,Atelidae,White-Bellied Spider Monkey,Ateles,belzebuth,Ateles_belzebuth,,7850,8484.4,Isler et al 2008,12.11,7.73,inferred (A paniscus),0,0,FFMM,Olivier et al 2024,Polygynandry,,co-evolve,22.125,Campbell et al 2007,184,Jones et al. 2009,0,64.23,inferred (A paniscus),,0,inferred,,,,0,Coxshall et al 2026,0,1,"Hill (1958) as reported in Spani et al 2021; for baubellum, recorded as cartilage"
Brachyteles_arachnoides,German,Ceboidea,Atelidae,Southern Muriqui,Brachyteles,arachnoides,Brachyteles_arachnoides,,9610,8070,Isler et al 2008,9.47,7.09,Luepold et al 2019,1.336,Plavcan & Ruff 2008,FFMM,Olivier et al 2024,Polygynandry,,co-evolve,20.9,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,232,Jones et al. 2009,0,,,,0,inferred,,,,0,Coxshall et al 2026,1,0,Napier and Napier (1985); Dixson (2004; hybrid) as reported in Spani et al 2021
Cacajao_melanocephalus,Jadyn,Ceboidea,Pitheciidae,Golden Backed Uakari,Cacajao,melanocephalus,Cacajao_melanocephalus,,3160,2710,Isler et al 2008,13.58,10.82,inferred (C calvus),,,FFMM,Olivier et al 2024,Harem Polygyny,Polygyny,inferred,,,,Jones et al. 2009,0,5.8,inferred (C calvus),,0,inferred,,,,0,Coxshall et al 2026,0,0,Hershkovitz (1993) as reported in Spani et al 2021
Callithrix_jacchus,German,Ceboidea,Callitrichidae,Common Marmoset,Callithrix,jacchus,Callithrix_jacchus,,318,322,Isler et al 2008,5.08,4.81,Luepold et al 2019,1.056,Plavcan & Ruff 2008,FFMM,Olivier et al 2024,Polyandry,,co-evolve,11,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,144,Jones et al. 2009,1,1.3,Luepold et al 2019,,0,inferred,,,,1,Coxshall et al 2026,1,0,Pohl (1928) as reported in Spani et al 2021
Callithrix_penicillata,Jadyn,Ceboidea,Callitrichidae,Black-tufted-ear Marmoset,Callithrix,penicillata,Callithrix_penicillata,,343.8,311.7,Isler et al 2008,5.4,5,Luepold et al 2019,1.08,Plavcan & Ruff 2008,MFF,Olivier et al 2024,Monogamy,,co-evolve,8,Campbell et al 2007,,Jones et al. 2009,1,1.08,Luepold et al 2019,,0,inferred,,,,1,Coxshall et al 2026,1,0,inferred in Spani et al 2021
