Artefact ID,Elevation (in metres),Size,Type,Weight,Max Length,Max Width,Max Thickness,Material,Colour,Quality,Flake Shape,Platform Count,Platform Surface,Overhang Removal,Dorsal Scar Count,Cortex %,Heat Fracture %,Termination,Modification,Retouch Type,Retouch Location,Retouch Total L (mm),Translucent?,Inclusions?,Cortex Location,Cortex Type,Battering/Edge Damage
DHSC-CB-A01,-1.3,6 - 8 cm,Flake Complete,135.9,5.7,6.8,2.7,Granophyre - FG,Grey,Good,wide,1,plain,,1,20,0,,usewear,Coarse,Lateral edges,68,No,No,Back,Beach,Yes
DHSC-CB-A02,-1.2,4 - 6 cm,Flake Complete,47.8,4.2,5.7,1.4,Granophyre - MG,Grey,Medium,wide,1,plain,,3,0,0,hinge,,,"Lateral
Distal",84,No,No,,,Yes
DHSC-CB-A03,-1.3,2 - 4 cm,Flake Complete,3.7,1.9,2.4,0.8,Granophyre - FG,Grey,,wide,1,plain,No,0,,0,Plain,unmodified,,,,No,No,,,No
DHSC-CB-A04,-1.1,2 - 4 cm,Flake Fragment,6.2,3.5,1.8,0.7,Granophyre - FG,Grey,Good,,,,,,,,,,,,,No,No,,,
DHSC-CB-A05,-1.2,4 - 6 cm,Flake Distal,34.6,4.7,5.2,1.1,Granophyre - FG,Grey,Good,wide,,,,3,0,,,unmodified,,,,No,No,,,Yes
DHSC-CB-A06,-1.3,2 - 4 cm,Flake Complete,13,3.2,2.9,0.9,Granophyre - MG,,Good,long,1,plain,,2,20,,,unmodified,,,,,,,,No
DHSC-CB-A07,-1.4,2 - 4 cm,Flake LB,4.7,2.6,2.4,0.8,Granophyre - FG,Black,Good,long,1,plain,,2,0,,,unmodified,,,,No,Yes,,,No
DHSC-CB-A08,-1.4,4 - 6 cm,Flake Fragment,15.8,5.2,2.9,1,Granophyre - Porphyritic,Dark Grey,,,,plain,,,,,,,,,,No,Yes,,,No
DHSC-CB-A09,-1.5,4 - 6 cm,Flake Complete,58.3,5.8,5.3,2.2,Granophyre - FG,Dark Grey,Good,,,,,1,20,,,,,,,No,No,,,
DHSC-CB-A10,-1.4,10 - 12 cm,Core MP,382.3,10.3,9.2,3.7,Granophyre - MG,Dark Grey,Good,,2,,,,,,,usewear,,,,No,Yes,,,
DHSC-CB-A11,-1.8,8 - 10 cm,Flake LB,89.3,8.2,5.2,2,Granophyre - FG,Light Grey,Good,long,,plain,,3,,,feather,unmodified,,,,No,No,,,Yes
DHSC-CB-A12,-1.9,4 - 6 cm,Flake Fragment,48.6,5.2,5.2,1.2,,,,squat,,,,,,,,,,,,,,,,
DHSC-CB-A13,-1.9,8 - 10 cm,,126.9,8.7,6,3.7,,,,,,,,,,,,,,,,,,,,
DHSC-CB-A14,-1.4,10 - 12 cm,Flake Complete,182,10.0,7.4,2.5,Granophyre - FG,Light Grey,,,,,,3,,,,,,,,No,No,,,
DHSC-CB-A16,-1.9,8 - 10 cm,,108.4,9.8,5.4,2,,,,,,,,,,,,,,,,,,,,
DHSC-CB-A17,-1.6,8 - 10 cm,,157,9.0,7.8,1.8,Granophyre - FG,Grey,,,,,,,,,,,,,,No,No,,,
DHSC-CB-A18,-1.6,6 - 8 cm,,94.2,7.8,7.6,1.7,Granophyre - FG,Dark Grey,,,,,,2,,,,,,,,No,No,,,
DHSC-CB-A19,-1.5,2 - 4 cm,Flake Proximal,7.8,2.5,2.8,0.6,,,,wide,,plain,,1,0,,,unmodified,,,,,,,,
DHSC-CB-A20,-1.6,8 - 10 cm,,317,9.9,9.6,3.2,,,,,,,,2,,,,,,,,,,,,
