Item Type,Publication Year,Author,Title,Publication Title,Pages,Volume,First Author Last Name,First Author First Name
journalArticle,2023,AABA,Program of the 92<sup>nd</sup> Annual Meeting of the American Association of Biological Anthropologists,American Journal of Biological Anthropology,1-210,180,,
journalArticle,2017,"Abar, Sameera; Theodoropoulos, Georgios K; Lemarinier, Pierre; O’Hare, Gregory MP",Agent Based Modelling and Simulation tools: A review of the state-of-art software,Computer Science Review,13-33,24,Abar,Sameera
journalArticle,2005,"Abba, Agustín M; Sauthier, DEU; Vizcaino, SF","Distribution and use of burrows and tunnels of Chaetophractus villosus (Mammalia, Xenarthra) in the eastern Argentinean pampas",Acta Theriologica,115-124,50,Abba,Agustín M
journalArticle,2007,"Abba, Agustín M; Vizcaino, Sergio F; Cassini, Marcelo H",Effects of land use on the distribution of three species of armadillos in the Argentinean pampas,Journal of Mammalogy,502-507,88,Abba,Agustín M
journalArticle,2011,"Abbot, Patrick; Abe, Jun; Alcock, John; Alizon, Samuel; Alpedrinha, Joao A C; Andersson, Malte; Andre, Jean-Baptiste; van Baalen, Minus; Balloux, Francois; Balshine, Sigal; Barton, Nick; Beukeboom, Leo W; Biernaskie, Jay M; Bilde, Trine; Borgia, Gerald; Breed, Michael; Brown, Sam; Bshary, Redouan; Buckling, Angus; Burley, Nancy T; Burton-Chellew, Max N; Cant, Michael A; Chapuisat, Michel; Charnov, Eric L; Clutton-Brock, Tim; Cockburn, Andrew; Cole, Blaine J; Colegrave, Nick; Cosmides, Leda; Couzin, Iain D; Coyne, Jerry A; Creel, Scott; Crespi, Bernard; Curry, Robert L; Dall, Sasha R X; Day, Troy; Dickinson, Janis L; Dugatkin, Lee Alan; Mouden, Claire El; Emlen, Stephen T; Evans, Jay; Ferriere, Regis; Field, Jeremy; Foitzik, Susanne; Foster, Kevin; Foster, William A; Fox, Charles W; Gadau, Juergen; Gandon, Sylvain; Gardner, Andy; Gardner, Michael G; Getty, Thomas; Goodisman, Michael A D; Grafen, Alan; Grosberg, Rick; Grozinger, Christina M; Gouyon, Pierre-Henri; Gwynne, Darryl; Harvey, Paul H; Hatchwell, Ben J; Heinze, Jürgen; Helantera, Heikki; Helms, Ken R; Hill, Kim; Jiricny, Natalie; Johnstone, Rufus A; Kacelnik, Alex; Kiers, E Toby; Kokko, Hanna; Komdeur, Jan; Korb, Judith; Kronauer, Daniel; Kümmerli, Rolf; Lehmann, Laurent; Linksvayer, Timothy A; Lion, Sébastien; Lyon, Bruce; Marshall, James A R; McElreath, Richard; Michalakis, Yannis; Michod, Richard E; Mock, Douglas; Monnin, Thibaud; Montgomerie, Robert; Moore, Allen J; Mueller, Ulrich G; Noë, Ronald; Okasha, Samir; Pamilo, Pekka; Parker, Geoff A; Pedersen, Jes S; Pen, Ido; Pfennig, David; Queller, David C; Rankin, Daniel J; Reece, Sarah E; Reeve, Hudson K; Reuter, Max; Roberts, Gilbert; Robson, Simon K A; Roze, Denis; Rousset, Francois; Rueppell, Olav; Sachs, Joel L; Santorelli, Lorenzo; Schmid-Hempel, Paul; Schwarz, Michael P; Scott-Phillips, Tom; Shellmann-Sherman, Janet; Sherman, Paul W; Shuker, David M; Smith, Jeff; Spagna, Joseph C; Strassmann, Beverly; Suarez, Andrew V; Sundström, Liselotte; Taborsky, Michael; Taylor, Peter; Thompson, Graham; Tooby, John; Tsutsui, Neil D; Tsuji, Kazuki; Turillazzi, Stefano; Úbeda, Francisco; Vargo, Edward L; Voelkl, Bernard; Wenseleers, Tom; West, Stuart A; West-Eberhard, Mary Jane; Westneat, David F; Wiernasz, Diane C; Wild, Geoff; Wrangham, Richard; Young, Andrew J; Zeh, David W; Zeh, Jeanne A; Zink, Andrew",Inclusive fitness theory and eusociality,Nature,E1-E4,471,Abbot,Patrick
journalArticle,2003,"Abbott, D H; Keverne, E B; Bercovitch, F B; Shively, C A; Mendoza, SP; Saltzman, W; Snowdon, C T; Ziegler, T E; Banjevic, M; Garland, T; Sapolsky, R M",Are subordinates always stressed? A comparative analysis of rank differences in cortisol levels among primates,Hormones and Behavior,67-82,43,Abbott,D H
bookSection,1989,"Abbott, David",Social suppression of reproduction in primates,Comparative Socioecology: The Behavioural Ecology of Humans and Other Mammals,285-304,,Abbott,David
journalArticle,1984,"Abbott, David H",Behavioral and physiological suppression of fertility in subordinate marmoset monkeys,American Journal of Primatology,169-186,6,Abbott,David H
journalArticle,1987,"Abbott, David H",Behaviourally mediated suppression of reproduction in female primates,"Journal of Zoology, London",455-470,213,Abbott,David H
bookSection,1993,"Abbott, David H",Chapter 12: Social conflict and reproductive suppression in marmoset and tamarin monkeys,Primate Social Conflict,331-372,,Abbott,David H
bookSection,1991,"Abbott, David H",Chapter 4: The social control of fertility,Primate Responses to Environmental Change,75-89,,Abbott,David H
journalArticle,1981,"Abbott, David H; McNeilly, A; Lunn, S; Hulme, M; Burden, F",Inhibition of ovarian function in subordinate female marmoset monkeys (Callithrix jacchus jacchus),Journal of Reproduction and Fertility,335-345,63,Abbott,David H
journalArticle,1998,"Abbott, David H; Saltzman, W; Schultz-Darken, N; Tannenbaum, P",Adaptations to subordinate status in female marmoset monkeys,Comparative Biochemistry and Physiology Part C,261-274,119,Abbott,David H
journalArticle,1980,"Abbott, I; Black, R","Changes in species composition of floras on islets near Perth, Western Australia",Journal of Biogeography,399-410,7,Abbott,I
journalArticle,1976,"Abbott, I; Grant, P",Nonequilibrial bird faunas on islands,The American Naturalist,507-528,110,Abbott,I
