Species,Clade,brain_weight,body_weight,diet,percent_fruit,social_system,mating_system,group_size,Locomotion,Main1,mean_Male_Galan,mean_Female_Galan,Superfamily,Family,Genus
Alouatta_caraya,Atelidae,52.71988304,5596.653333,Folivore,25,Polygyndry,Harem Polygyny,6.683333333,AR,FFMM,6.42,4.33,Ceboidea,Atelidae,Alouatta
Alouatta_palliata,Atelidae,50.90798009,6358.996667,Folivore,42,Polygyndry,Harem Polygyny,15.5484375,AR,FFMM,6.96,5.28,Ceboidea,Atelidae,Alouatta
Alouatta_pigra,Atelidae,52.9655,8940,Folivore,,Polygyndry,Harem Polygyny,5.933333333,AR,FFMM,7.505,5.608,Ceboidea,Atelidae,Alouatta
Alouatta_seniculus,Atelidae,56.57012963,6247.359744,Folivore,42,Polygyndry,Harem Polygyny,6.965,AR,FFMM,6.66,5.18,Ceboidea,Atelidae,Alouatta
Aotus_azarai,Cebidae,21.41265233,1073.19,Frugivore/Folivore,,Pair,Monogamy,3,,,,,Ceboidea,Cebidae,Aotus
Aotus_lemurinus,Cebidae,16.78195832,869.98,Frugivore,,Pair,Monogamy,3.5,,,,,Ceboidea,Cebidae,Aotus
Aotus_trivirgatus,Cebidae,17.21332416,870.8,Frugivore,45.5,Pair,Monogamy,3.5125,,,,,Ceboidea,Cebidae,Aotus
Arctocebus_calabarensis,Loridae,7.17056343,239.3366667,Omnivore,,Solitary,Spatial Polygyny,1.25,,,,,Lorisoidea,Loridae,Arctocebus
Ateles_belzebuth,Atelidae,118.5758737,6409.14,Frugivore/Folivore,83,Polygyndry,Polygyndry,16.4,AR,FFMM,8.26,7.88,Ceboidea,Atelidae,Ateles
Ateles_fusciceps,Atelidae,114.5874241,8033.97,Frugivore,,Polygyndry,Polygyndry,5,,,,,Ceboidea,Atelidae,Ateles
Ateles_geoffroyi,Atelidae,108.5350006,6711.8,Frugivore,68.7,Polygyndry,Polygyndry,28.01785714,AR,FFMM,7.45,7.64,Ceboidea,Atelidae,Ateles
Ateles_paniscus,Atelidae,105.9410345,7789.527778,Frugivore,82.9,Polygyndry,Polygyndry,25.5,,,,,Ceboidea,Atelidae,Ateles
Avahi_laniger,Lemuriformes,10.25135534,1300,Folivore,0,Pair,Monogamy,2.666666667,AR,MF,1.03,1.32,Lemuroidea,Indriidae,Avahi
Avahi_occidentalis,Lemuriformes,8.2362,795.5,Folivore,,Pair,Monogamy,,AR,MF,0.814,0.777,Lemuroidea,Indriidae,Avahi
Brachyteles_arachnoides,Atelidae,120.1,9247.5,Frugivore/Folivore,,Polygyndry,Polygyndry,27.08333333,AR,FFMM,9.61,8.07,Ceboidea,Atelidae,Brachyteles
Cacajao_calvus,Pitheciidae,73.3,3293.02,Frugivore,18,Polygyndry,Harem Polygyny,15,AR,FFMM,3.45,2.88,Ceboidea,Pitheciidae,Cacajao
Callicebus_moloch,Pitheciidae,17.725,883.8052381,Frugivore,53.7,Pair,Monogamy,3.366666667,,,,,Ceboidea,Pitheciidae,Callicebus
Callicebus_torquatus,Pitheciidae,20.55927496,1152.5,Frugivore,33,Pair,Monogamy,3.575,AR,MF,1.28,1.21,Ceboidea,Pitheciidae,Callicebus
Callimico_goeldii,Cebidae,11.75188692,538.5,Omnivore,,Pair,Monogamy,6.5,AR,MF,0.499,0.468,Ceboidea,Cebidae,Callimico
Callithrix_argentata,Cebidae,8.045805332,361.1233333,Omnivore,,Pair,Monogamy,6.2,,,,,Ceboidea,Cebidae,Callithrix
Callithrix_geoffroyi,Cebidae,8.642857143,342,Omnivore,,Pair,Monogamy,9,,,,,Ceboidea,Cebidae,Callithrix
Callithrix_jacchus,Cebidae,7.643613607,272.705,Frugivore,22,Pair,Polyandry,7.877777778,AR,FFMM,0.317,0.324,Ceboidea,Cebidae,Callithrix
Callithrix_penicillata,Cebidae,7.554774421,323.49,Omnivore,,Pair,Monogamy,6.6,AR,MFF,0.344,0.307,Ceboidea,Cebidae,Callithrix
Callithrix_pygmaea,Cebidae,4.452087064,125.8133333,Omnivore,0,Pair,Polyandry,5.628571429,,,,,Ceboidea,Cebidae,Callithrix
Cebus_albifrons,Cebidae,64.7148031,2535.56,Omnivore,24.6,Polygyndry,Polygyndry,21.125,AR,FFMM,2.65,1.7,Ceboidea,Cebidae,Cebus
