Date,Time,OS,Focal,Composition,Latitude,Longitude
18-Jul-10,12:00,OS98155,Nenki/,Nenki/Sammy/Poto/Lucas/Andreo/Mono/Ana/Aisha/Ayax/Luna/Liana/Lela,-0.633222,-76.15066978
18-Jul-10,12:15,OS98155,Nenki/,Nenki/Sammy/Poto/Lucas/Andreo/Mono/,-0.63236103,-76.14865154
18-Jul-10,12:30,OS98155,Nenki/,Nenki/Sammy/Poto/Lucas/Andreo/Mono/,-0.63222889,-76.14743995
18-Jul-10,13:00,OS98155,Sammy/,Nenki/Sammy/Poto/Lucas/Andreo/Mono/,-0.6310376,-76.1451848
18-Jul-10,13:15,OS98155,Sammy/,Nenki/Sammy/Poto/Lucas/Andreo/Mono/,-0.62937558,-76.14588776
18-Jul-10,13:30,OS98155,Sammy/,Nenki/Sammy/Poto/Lucas/Andreo/Mono/,-0.62956171,-76.14672224
18-Jul-10,13:45,OS98155,Sammy/,Nenki/Sammy/Poto/Lucas/Andreo/Mono/,-0.62877911,-76.14748957
18-Jul-10,14:00,OS98155,Sammy/,Nenki/Sammy/Poto/Lucas/Andreo/Mono/,-0.62860982,-76.14785675
18-Jul-10,14:15,OS98155,Sammy/,Nenki/Sammy/Poto/Lucas/Andreo/Mono/,-0.62865774,-76.14783365
18-Jul-10,14:30,OS98155,Sammy/,Nenki/Sammy/Poto/Lucas/Andreo/Mono/,-0.62870285,-76.14770614
18-Jul-10,14:45,OS98155,Sammy/,Nenki/Sammy/Poto/Lucas/Andreo/Mono/,-0.6289126,-76.14782651
18-Jul-10,15:00,OS98155,Sammy/,Nenki/Sammy/Poto/Lucas/Andreo/Mono/,-0.62868969,-76.14819399
18-Jul-10,15:15,OS98155,Sammy/,Nenki/Sammy/Poto/Lucas/Andreo/Mono/,-0.62868777,-76.14817588
18-Jul-10,15:30,OS98155,Sammy/,Nenki/Sammy/Poto/Lucas/Andreo/Mono/,-0.62862388,-76.14807428
18-Jul-10,15:45,OS98155,Sammy/,Nenki/Sammy/Poto/Lucas/Andreo/Mono/,-0.62874032,-76.14797287
18-Jul-10,16:00,OS98155,Sammy/,Nenki/Sammy/Poto/Lucas/Andreo/Mono/,-0.62889562,-76.1480205
18-Jul-10,16:15,OS98155,Sammy/,Nenki/Sammy/Poto/Lucas/Andreo/Mono/,-0.62894569,-76.14798548
18-Jul-10,16:45,OS98155,Sammy/,Nenki/Sammy/Poto/Lucas/Andreo/Mono/,-0.62848573,-76.14782281
18-Jul-10,17:00,OS98155,Sammy/,Nenki/Sammy/Poto/Lucas/Andreo/Mono/,-0.62840754,-76.14800139
18-Jul-10,17:15,OS98155,Sammy/,Nenki/Sammy/Poto/Lucas/Andreo/Mono/,-0.62836292,-76.14796162
18-Jul-10,17:30,OS98155,Sammy/,Nenki/Sammy/Poto/Lucas/Andreo/Mono/,-0.62841753,-76.14796503
19-Jul-10,6:00,OS98156,Lucas/,Andreo/Lucas/Mono/Poto/Sammy/Nenki/,-0.62884834,-76.14767127
19-Jul-10,6:15,OS98156,Lucas/,Andreo/Lucas/Mono/Poto/Sammy/Nenki/,-0.62848637,-76.14801514
19-Jul-10,6:30,OS98156,Lucas/,Andreo/Lucas/Mono/Poto/Sammy/Nenki/,-0.62849208,-76.14800697
19-Jul-10,6:45,OS98156,Lucas/,Andreo/Lucas/Mono/Poto/Sammy/Nenki/,-0.62851669,-76.14807602
19-Jul-10,7:00,OS98156,Lucas/,Andreo/Lucas/Mono/Poto/Sammy/Nenki/,-0.62851687,-76.14806234
19-Jul-10,7:15,OS98156,Lucas/,Andreo/Lucas/Mono/Poto/Sammy/Nenki/,-0.62842526,-76.14801665
19-Jul-10,7:30,OS98156,Lucas/,Andreo/Lucas/Mono/Poto/Sammy/Nenki/,-0.62789537,-76.1479629
19-Jul-10,7:45,OS98156,Poto/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62801443,-76.14861808
19-Jul-10,8:00,OS98156,Poto/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62776934,-76.14885096
19-Jul-10,8:15,OS98156,Poto/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62784029,-76.1487274
19-Jul-10,8:30,OS98156,Poto/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62776128,-76.14868884
19-Jul-10,8:45,OS98156,Poto/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62771786,-76.14878553
19-Jul-10,9:00,OS98156,Poto/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62775159,-76.14864715
19-Jul-10,9:15,OS98156,Poto/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62782973,-76.14884852
19-Jul-10,9:30,OS98156,Poto/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.6277595,-76.14869083
19-Jul-10,9:45,OS98156,Poto/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62790089,-76.14852637
19-Jul-10,10:00,OS98156,Poto/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62789891,-76.14882806
19-Jul-10,10:15,OS98156,Poto/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62788543,-76.14869514
19-Jul-10,10:30,OS98156,Poto/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62796771,-76.14860098
19-Jul-10,10:45,OS98156,Poto/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62780237,-76.14863582
19-Jul-10,11:00,OS98156,Poto/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62783191,-76.148636
19-Jul-10,11:15,OS98156,Poto/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62807123,-76.1480495
19-Jul-10,11:30,OS98156,Poto/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62811391,-76.14776314
19-Jul-10,11:45,OS98156,Poto/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62812294,-76.1477044
19-Jul-10,12:00,OS98156,Poto/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62883525,-76.14785015
19-Jul-10,12:15,OS98156,Poto/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.628809,-76.14807158
19-Jul-10,12:30,OS98156,Poto/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62872109,-76.14808573
19-Jul-10,12:45,OS98156,Poto/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62870952,-76.14806276
20-Jul-10,8:30,OS98157,Lucas/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62828166,-76.14793014
20-Jul-10,8:45,OS98157,Lucas/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.6282189,-76.14796917
20-Jul-10,9:00,OS98157,Lucas/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62815028,-76.14790515
20-Jul-10,9:15,OS98157,Lucas/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62821501,-76.1479997
20-Jul-10,9:30,OS98157,Lucas/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62823467,-76.14798048
20-Jul-10,9:45,OS98157,Lucas/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62810373,-76.14773929
20-Jul-10,10:00,OS98157,Lucas/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62779727,-76.14792565
20-Jul-10,10:15,OS98157,Lucas/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62800107,-76.14793938
20-Jul-10,10:30,OS98157,Lucas/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62798099,-76.14795282
20-Jul-10,10:45,OS98157,Lucas/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62794575,-76.14789414
20-Jul-10,11:00,OS98157,Lucas/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62809942,-76.14790555
20-Jul-10,11:15,OS98157,Lucas/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62845267,-76.14806897
20-Jul-10,11:30,OS98157,Lucas/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62767889,-76.1474791
20-Jul-10,11:45,OS98157,Lucas/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62781907,-76.14726073
20-Jul-10,12:00,OS98157,Lucas/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62761376,-76.14711769
20-Jul-10,12:15,OS98157,Lucas/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62757515,-76.14706208
20-Jul-10,12:30,OS98157,Lucas/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.6275289,-76.14705615
20-Jul-10,13:00,OS98157,Lucas/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62775741,-76.14711373
20-Jul-10,13:15,OS98157,Lucas/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62762264,-76.14723009
20-Jul-10,13:30,OS98157,Lucas/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62769097,-76.14720103
20-Jul-10,13:45,OS98157,Lucas/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62767283,-76.14721753
20-Jul-10,14:00,OS98157,Lucas/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62756065,-76.14722943
20-Jul-10,14:15,OS98157,Lucas/,Nenki/Sammy/Poto/Mono/Lucas/Andreo/,-0.62767583,-76.14715158
20-Jul-10,14:30,OS98157,Lucas/,Nenki/Sammy/Poto/Lucas/,-0.62785135,-76.14728402
20-Jul-10,14:45,OS98157,Lucas/,Nenki/Sammy/Poto/Lucas/,-0.62859401,-76.14771144
20-Jul-10,15:00,OS98157,Lucas/,Nenki/Sammy/Poto/Lucas/,-0.62869144,-76.14807862
20-Jul-10,15:15,OS98157,Lucas/,Nenki/Sammy/Poto/Lucas/,-0.6287692,-76.14799239
20-Jul-10,15:30,OS98157,Lucas/,Nenki/Sammy/Poto/Lucas/Andreo/Mono/,-0.62886918,-76.14804967
20-Jul-10,15:45,OS98157,Lucas/,Nenki/Sammy/Poto/Lucas/Andreo/Mono/,-0.62869446,-76.14809704
20-Jul-10,16:00,OS98157,Lucas/,Nenki/Sammy/Poto/Lucas/Andreo/Mono/,-0.62867824,-76.14790188
20-Jul-10,16:15,OS98157,Lucas/,Nenki/Sammy/Poto/Lucas/Andreo/Mono/,-0.62865497,-76.14784874
20-Jul-10,16:30,OS98157,Lucas/,Nenki/Sammy/Poto/Lucas/Andreo/Mono/,-0.62887933,-76.14751192
20-Jul-10,16:45,OS98157,Lucas/,Nenki/Sammy/Poto/Lucas/Andreo/Mono/,-0.62883554,-76.14797618
20-Jul-10,17:00,OS98157,Lucas/,Nenki/Sammy/Poto/Lucas/Andreo/Mono/,-0.62855637,-76.14804201
20-Jul-10,17:15,OS98157,Lucas/,Nenki/Sammy/Poto/Lucas/Andreo/Mono/,-0.62840907,-76.14801837
20-Jul-10,17:30,OS98157,Lucas/,Nenki/Sammy/Poto/Lucas/Andreo/Mono/,-0.6283897,-76.14799333
20-Jul-10,17:45,OS98157,Lucas/,Nenki/Sammy/Poto/Lucas/Andreo/Mono/,-0.62846786,-76.14799537
2-Aug-10,14:00,OS98321,Poto/,Poto/,-0.63154855,-76.16159882
2-Aug-10,14:15,OS98321,Poto/,Poto/,-0.63286874,-76.16159995
2-Aug-10,14:30,OS98321,Poto/,Poto/,-0.63242717,-76.16332467
2-Aug-10,14:45,OS98321,Poto/,Poto/,-0.63257139,-76.16380488
2-Aug-10,15:00,OS98321,Poto/,Poto/,-0.63254872,-76.16365422
2-Aug-10,15:15,OS98321,Poto/,Poto/Kauo/Kauoka/,-0.63178538,-76.16428797
2-Aug-10,15:45,OS98321,Poto/,Poto/Kauo/Kauoka/,-0.6317229,-76.16440074
2-Aug-10,16:00,OS98321,Poto/,Poto/Kauo/Kauoka/,-0.63174251,-76.16458503
2-Aug-10,16:15,OS98321,Poto/,Poto/Kauo/Kauoka/,-0.63186099,-76.16444631
2-Aug-10,16:30,OS98321,Poto/,Poto/Kauo/Kauoka/,-0.63162995,-76.16450188
8-Aug-10,11:00,OS98327,Sammy/,Andreo/Lucas/Mono/Poto/Sammy/Nenki/Kauo/Kauoka/Luna/Liana/Lela/Oikamo/Olio/Vita/Violeta/,-0.6328537,-76.15452151
8-Aug-10,11:15,OS98327,Sammy/,Andreo/Lucas/Mono/Poto/Sammy/Nenki/Kauo/Kauoka/Luna/Liana/Lela/Oikamo/Olio/Vita/Violeta/,-0.63294624,-76.15379306
8-Aug-10,11:30,OS98327,Sammy/,Andreo/Lucas/Mono/Poto/Sammy/Nenki/Kauo/Kauoka/Luna/Liana/Lela/Oikamo/Olio/Vita/Violeta/,-0.63283692,-76.15373296
8-Aug-10,11:45,OS98327,Sammy/,Andreo/Lucas/Mono/Poto/Sammy/Nenki/Kauo/Kauoka/Luna/Liana/Lela/Oikamo/Olio/Vita/Violeta/,-0.63267937,-76.15395917
8-Aug-10,12:00,OS98327,Sammy/,Andreo/Lucas/Mono/Poto/Sammy/Nenki/Kauo/Kauoka/Luna/Liana/Lela/Oikamo/Olio/Vita/Violeta/,-0.63278862,-76.15378101
8-Aug-10,12:15,OS98327,Sammy/,Andreo/Lucas/Mono/Poto/Sammy/Nenki/Kauo/Kauoka/Luna/Liana/Lela/Oikamo/Olio/Vita/Violeta/,-0.63269171,-76.15379549
8-Aug-10,12:30,OS98327,Sammy/,Andreo/Lucas/Mono/Poto/Sammy/Nenki/Kauo/Kauoka/Luna/Liana/Lela/Oikamo/Olio/Vita/Violeta/,-0.63280638,-76.15362369
8-Aug-10,12:45,OS98327,Sammy/,Andreo/Lucas/Mono/Poto/Sammy/Nenki/Kauo/Kauoka/Luna/Liana/Lela/Oikamo/Olio/Vita/Violeta/,-0.63281453,-76.15380912
8-Aug-10,13:00,OS98327,Sammy/,Andreo/Lucas/Mono/Poto/Sammy/Nenki/Kauo/Kauoka/Luna/Liana/Lela/Oikamo/Olio/Vita/Violeta/,-0.63281136,-76.15375247
8-Aug-10,13:15,OS98327,Sammy/,Andreo/Lucas/Mono/Poto/Sammy/Nenki/Kauo/Kauoka/Luna/Liana/Lela/Oikamo/Olio/Vita/Violeta/,-0.63284842,-76.15372369
8-Aug-10,13:30,OS98327,Sammy/,Andreo/Lucas/Mono/Poto/Sammy/Nenki/Kauo/Kauoka/Luna/Liana/Lela/Oikamo/Olio/Vita/Violeta/,-0.63277824,-76.15363253
8-Aug-10,13:45,OS98327,Sammy/,Andreo/Lucas/Mono/Poto/Sammy/Nenki/Kauo/Kauoka/Luna/Liana/Lela/Oikamo/Olio/Vita/Violeta/,-0.63279385,-76.15370714
8-Aug-10,14:00,OS98327,Sammy/,Andreo/Lucas/Mono/Poto/Sammy/Nenki/Kauo/Kauoka/Luna/Liana/Lela/Oikamo/Olio/Vita/Violeta/,-0.63276898,-76.15367956
8-Aug-10,14:15,OS98327,Sammy/,Andreo/Lucas/Mono/Poto/Sammy/Nenki/Kauo/Kauoka/Luna/Liana/Lela/Oikamo/Olio/Vita/Violeta/,-0.6328141,-76.1537952
8-Aug-10,14:30,OS98327,Sammy/,Andreo/Lucas/Mono/Poto/Sammy/Nenki/Kauo/Kauoka/Luna/Liana/Lela/Oikamo/Olio/Vita/Violeta/,-0.63271358,-76.15362472
8-Aug-10,14:45,OS98327,Sammy/,Andreo/Lucas/Mono/Poto/Sammy/Nenki/Kauo/Kauoka/Luna/Liana/Lela/Oikamo/Olio/Vita/Violeta/,-0.6328656,-76.15365775
8-Aug-10,15:00,OS98327,Sammy/,Andreo/Lucas/Mono/Poto/Sammy/Nenki/Kauo/Kauoka/Luna/Liana/Lela/Oikamo/Olio/Vita/Violeta/,-0.63272457,-76.15384334
8-Aug-10,15:15,OS98327,Sammy/,Andreo/Lucas/Mono/Poto/Sammy/Nenki/Kauo/Kauoka/Luna/Liana/Lela/Oikamo/Olio/Vita/Violeta/,-0.63279125,-76.15367119
8-Aug-10,15:30,OS98327,Sammy/,Andreo/Lucas/Mono/Poto/Sammy/Nenki/Kauo/Kauoka/Luna/Liana/Lela/Oikamo/Olio/Vita/Violeta/,-0.63281581,-76.15379026
8-Aug-10,15:45,OS98327,Sammy/,Andreo/Lucas/Mono/Poto/Sammy/Nenki/Kauo/Kauoka/Luna/Liana/Lela/Oikamo/Olio/Vita/Violeta/,-0.63275138,-76.15366812
8-Aug-10,16:00,OS98327,Sammy/,Andreo/Lucas/Mono/Poto/Sammy/Nenki/Kauo/Kauoka/Luna/Liana/Lela/Oikamo/Olio/Vita/Violeta/,-0.63325534000000006,-76.15278821
9-Aug-10,9:15,OS98328,Oikamo/,Andreo/Lucas/Mono/Poto/Sammy/Nenki/Ana/Aisha/Ayax/Evita/Elena/Kauo/Kauoka/Luna/Liana/Lela/Nipa/Nika/Oikamo/Olio/Sofia/Silvi/Summer/,-0.63703059,-76.15124624
