ID,LOCATION,FINAL_LON,FINAL_LAT
293,AB-011,-76.15896433,-0.638147948
294,AB-05-001,-76.15696501,-0.630596539
296,AB-05-002,-76.15564927,-0.637478612
298,AB-05-003,-76.15666033,-0.634333282
300,AB-05-004,-76.15580767,-0.634578605
302,AB-05-005,-76.15692625,-0.630042967
304,AB-05-006,-76.15652695,-0.632528745
307,AB-05-007,-76.1590019,-0.630078684
309,AB-05-008,-76.15415848,-0.632986071
311,AB-05-009,-76.153247,-0.632822
313,AB-05-010,-76.1532468,-0.634540285
315,AB-05-011,-76.15826642,-0.6298815
322,AB-05-012,-76.15551558,-0.630260373
325,AB-05-013,-76.1550229,-0.633074523
327,AB-05-014,-76.15690143,-0.6256842
334,AB-05-015,-76.15736727,-0.63333541
335,AB-05-016,-76.15273954,-0.636417332
338,AB-05-017,-76.15643261,-0.632584848
340,AB-05-018,-76.15575874,-0.632756863
341,AB-05-019,-76.15432864,-0.634477629
343,AB-05-020,-76.15336275,-0.634679559
346,AB-05-021,-76.15569575,-0.632349831
348,AB-05-022,-76.15439287,-0.632359169
349,AB-05-023,-76.15598782,-0.632528866
352,AB-05-024,-76.15527307,-0.630676518
354,AB-05-025,-76.15921789,-0.63161636
356,AB-05-026,-76.15898424,-0.631489777
357,AB-05-027,-76.15721272,-0.62929394
360,AB-05-028,-76.15583963,-0.632847299
362,AB-05-029,-76.15857076,-0.630820507
364,AB-05-030,-76.15473255,-0.62432673
366,AB-05-031,-76.15459825,-0.626524805
368,AB-05-032,-76.15452653,-0.627266548
370,AB-05-033,-76.15544292,-0.626687436
371,AB-05-034,-76.15541814,-0.636556028
374,AB-05-035,-76.15927187,-0.631932938
375,AB-05-036,-76.15672657,-0.629124898
378,AB-05-037,-76.15472476,-0.629772095
379,AB-06-001,-76.16446877,-0.627443882
380,AB-06-002,-76.15565195,-0.633370168
381,AB-06-003,-76.1557527,-0.633885736
382,AB-06-004,-76.1496642,-0.625890905
383,AB-06-005,-76.16107988,-0.632564808
384,AB-06-006,-76.16111041,-0.632479774
385,AB-06-007,-76.16162715,-0.632843284
386,AB-06-008,-76.16445642,-0.631723726
388,AB-06-011,-76.15896433,-0.638147948
389,AB-06-012,-76.15902163,-0.638002485
390,AB-06-013,-76.15911857,-0.637534813
392,AB-06-014,-76.15889553,-0.636663788
393,AB-06-015,-76.15860793,-0.636365354
394,AB-06-016,-76.15841968,-0.634334695
395,AB-06-017,-76.15927159,-0.630684668
396,AB-06-019,-76.16068459,-0.628817373
397,AB-06-020,-76.1553391,-0.636707105
398,AB-06-021,-76.15536365,-0.633941905
399,AB-06-022,-76.15543929,-0.6330095
402,AB-06-023,-76.15508562,-0.636291072
403,AB-06-025,-76.16175803,-0.631433976
404,AB-06-026,-76.1644238,-0.630520692
405,AB-06-028,-76.16447412,-0.630538772
407,AB-06-029,-76.127628,-0.629270612
408,AB-06-031,-76.16065047,-0.632980994
409,AB-06-032,-76.15826336,-0.634425184
410,AB-06-033,-76.15912801,-0.631525926
411,AB-06-034,-76.16425517,-0.62696995
412,AB-06-038,-76.15892759,-0.6315545
414,AB-06-040,-76.16624283,-0.629404711
415,AB-06-041,-76.16481548,-0.63011356
418,AB-06-042,-76.164389,-0.628183
422,AB-06-043,-76.16710639,-0.628466779
423,AB-06-044,-76.16687293,-0.629190465
424,AB-06-045,-76.16656767,-0.630275983
425,AB-06-046,-76.16422101,-0.6270477
428,AB-06-047,-76.16750096,-0.624893752
429,AB-06-048,-76.16677368,-0.627336177
431,AB-06-049,-76.16405182,-0.630575049
432,AB-06-051,-76.16541962,-0.6322278
433,AB-06-052,-76.16680169,-0.632057877
436,AB-06-053,-76.16639727,-0.631732333
438,AB-06-054,-76.1654875,-0.630965035
439,AB-06-055,-76.16548863,-0.630758347
440,AB-06-057,-76.16585785,-0.630429915
441,AB-06-059,-76.16009131,-0.631801595
442,AB-06-060,-76.16658079,-0.628694842
443,AB-06-061,-76.16611681,-0.632444452
444,AB-06-062,-76.16507651,-0.632148721
445,AB-06-063,-76.16539075,-0.6310632
447,AB-06-064,-76.164573,-0.630683476
449,AB-06-066,-76.15829914,-0.631689201
450,AB-06-067,-76.16035875,-0.630340698
451,AB-06-068,-76.16106754,-0.630791272
452,AB-06-070,-76.16416857,-0.627073991
453,AB-06-072,-76.16561554,-0.631756933
454,AB-06-073,-76.16390808,-0.630692672
457,AB-06-074,-76.16610086,-0.632238944
458,AB-06-075,-76.16436115,-0.631637816
459,AB-06-076,-76.16343204,-0.63156114
460,AB-06-077,-76.16672502,-0.6330266
462,AB-06-078,-76.15832299,-0.631849933
463,AB-06-081,-76.15972001,-0.626795029
464,AB-06-083,-76.15833453,-0.63527544
466,AB-06-084,-76.15820072,-0.635612232
468,AB-06-085,-76.15774451,-0.632693099
469,AB-06-086,-76.15842357,-0.631604779
470,AB-06-087,-76.16048556,-0.634881477
471,AB-06-088,-76.167288,-0.632992158
472,AB-06-089,-76.15617999,-0.632004187
473,AB-06-090,-76.15576626,-0.634235792
474,AB-06-091,-76.15605462,-0.633889286
475,AB-06-092,-76.15502445,-0.635975399
476,AB-06-094,-76.15694309,-0.6354892
477,AB-06-095,-76.16070355,-0.637297464
478,AB-06-096,-76.14788717,-0.637888401
481,AB-06-097,-76.14884302,-0.638588216
482,AB-06-098,-76.14845329,-0.639677378
483,AB-06-099,-76.14821366,-0.640916662
484,AB-06-100,-76.15957193,-0.631678694
485,AB-06-101,-76.16141611,-0.637388661
486,AB-06-102,-76.16135405,-0.637101935
487,AB-06-103,-76.1615895,-0.637227613
488,AB-06-104,-76.16474883,-0.637454839
491,AB-06-105,-76.15669121,-0.6352326
492,AB-06-107,-76.1552378,-0.633698611
493,AB-06-108,-76.15477984,-0.635063673
494,AB-06-110,-76.15466463,-0.635392862
495,AB-06-111,-76.14825754,-0.636186774
496,AB-06-112,-76.1644666,-0.6316687
497,AB-06-115,-76.16077705,-0.6297334
498,AB-06-117,-76.16200978,-0.6350392
502,AB-06-123,-76.15851667,-0.63505
504,AB-06-125,-76.16254974,-0.6375224
506,AB-06-129,-76.15908978,-0.6284417
507,AB-06-130,-76.16113421,-0.6292797
509,AB-06-133,-76.15964005,-0.6300645
512,AB-06-154,-76.14699192,-0.6374991
514,AB-06-155,-76.14185249,-0.641023203
515,AB-06-157,-76.16429157,-0.631075568
517,AB-06-158,-76.16517657,-0.632000715
518,AB-06-160,-76.15653036,-0.6286189
519,AB-07-001,-76.16142016,-0.632568892
522,AB-07-003,-76.1585841,-0.6295906
523,AB-07-004,-76.16333918,-0.62650522
525,AB-07-007,-76.16106522,-0.6292638
528,AB-07-011,-76.15459894,-0.634554454
531,AB-07-015,-76.16032376,-0.6293581
532,AB-07-021,-76.16215353,-0.628784
535,AB-07-022,-76.15567098,-0.634082402
537,AB-07-025,-76.15975304,-0.6302596
538,AB-07-026,-76.15935246,-0.6306663
539,AB-07-027,-76.16604826,-0.6324183
540,AB-07-029,-76.16349542,-0.632906632
541,AB-07-032,-76.15772668,-0.633335329
542,AB-07-035,-76.15823837,-0.629113163
543,AB-07-036,-76.1613528,-0.637155122
544,AB-07-037,-76.16489004,-0.628012202
545,AB-07-039,-76.16698473,-0.627258791
547,AB-07-041,-76.16729528,-0.629371278
548,AB-07-042,-76.15457,-0.634519817
549,AB-07-043,-76.15687506,-0.638231007
550,AB-07-044,-76.16472915,-0.638260971
551,AB-07-050,-76.15567385,-0.637286662
553,AB-07-051,-76.1592492,-0.633049151
554,AB-07-052,-76.16066071,-0.6312379
555,AB-07-053,-76.16319614,-0.633015426
556,AB-07-055,-76.15828661,-0.6343378
558,AB-07-066,-76.15535832,-0.6318587
560,AB-07-068,-76.14967577,-0.633590406
563,AB-07-072,-76.1672421,-0.6294147
565,AB-07-074,-76.15309387,-0.6362789
567,AB-07-077,-76.16672499,-0.633026658
568,AB-07-079,-76.16629377,-0.627361974
569,AB-07-086,-76.1566421,-0.629093982
570,AB-07-089,-76.15594245,-0.634578575
571,AB-07-091,-76.1564421,-0.6368458
572,AB-07-094,-76.15224092,-0.6348642
573,AB-07-095,-76.15451531,-0.634648455
574,AB-07-096,-76.14839124,-0.632921871
575,AB-07-097,-76.15164982,-0.635350664
576,AB-07-102,-76.15917946,-0.6321552
578,AB-07-113,-76.15906673,-0.6321799
581,AB-07-115,-76.16029736,-0.6316665
582,AB-07-118,-76.15551489,-0.633226286
583,AB-07-119,-76.15556439,-0.636420585
584,AB-07-124,-76.15696278,-0.632161
585,AB-07-126,-76.16782179,-0.6313726
587,AB-07-129,-76.15928499,-0.6320187
588,AB-07-133,-76.16475611,-0.6328655
589,AB-07-135,-76.15729756,-0.6331804
591,AB-07-136,-76.15948834,-0.6340611
592,AB-07-145,-76.14347238,-0.64339728
593,AB-07-146,-76.14218325,-0.643864318
594,AB-07-150,-76.14851903,-0.637473705
595,AB-07-152,-76.16592619,-0.629421336
597,AB-07-156,-76.14754605,-0.6332946
604,AB-07-160,-76.15646197,-0.6285839
606,AB-07-165,-76.15526788,-0.6330007
607,AB-07-170,-76.15520761,-0.6355561
609,AB-07-179,-76.1591967,-0.627240905
610,AB-07-180,-76.15728645,-0.628290783
612,AB-07-181,-76.1568419,-0.629341873
613,AB-07-185,-76.16405277,-0.625950485
614,AB-07-186,-76.161046,-0.626468917
615,AB-07-201,-76.14872075,-0.632995428
618,AB-07-204,-76.15570023,-0.637123024
619,AB-07-210,-76.16394456,-0.626625931
620,AB-07-221,-76.16260815,-0.627018711
621,AB-07-225,-76.15438133,-0.6336268
622,AB-07-227,-76.16074244,-0.6303287
624,AB-07-229,-76.16263884,-0.626037547
625,AB-07-230,-76.16144618,-0.6355761
626,AB-07-231,-76.15968491,-0.628166054
627,AB-07-260,-76.16184788,-0.631433956
628,AB-07-264,-76.16647214,-0.6322651
630,AB-07-274,-76.16003375,-0.6288762
631,AB-07-283,-76.16063314,-0.6265528
632,AB-07-286,-76.15799326,-0.6315192
634,AB-08-001,-76.16883292,-0.634427314
635,AB-08-002,-76.16760182,-0.634011505
636,AB-08-006,-76.16510589,-0.6302423
638,AB-08-009,-76.16392364,-0.634025455
640,AB-08-021,-76.16586915,-0.626660235
641,AB-08-030,-76.16312608,-0.631910091
642,AB-08-031,-76.16684396,-0.6307065
644,AB-08-037,-76.16053314,-0.626985707
646,AB-08-038,-76.16473798,-0.627504336
650,AB-08-041,-76.1646089,-0.630538742
651,AB-08-042,-76.16436968,-0.629154846
652,AB-08-054,-76.16469845,-0.629142108
654,AB-08-057,-76.17114899,-0.6197858
655,AB-08-059,-76.16616713,-0.62718227
656,AB-08-073,-76.16231421,-0.626113
657,AB-08-075,-76.16901211,-0.6314038
658,AB-08-078,-76.15611839,-0.633525
660,AB-08-082,-76.154932,-0.634394
663,AB-08-085,-76.153131,-0.63382
665,AB-08-089,-76.15875,-0.6338667
666,AB-08-091,-76.16455469,-0.6304817
670,AB-08-098,-76.15220421,-0.6346228
671,AB-08-101,-76.15503228,-0.638874465
673,AB-08-103,-76.16375122,-0.630403796
676,AB-08-107,-76.1664506,-0.6320709
678,AB-08-118,-76.16358818,-0.6304084
685,AB-08-123,-76.166858,-0.629667
688,AB-08-127,-76.1606775,-0.63289569
689,AB-08-128,-76.16026845,-0.633161989
691,AB-08-130,-76.15426993,-0.6331972
693,AB-08-131,-76.16025519,-0.632939293
694,AB-08-133,-76.15149176,-0.635342288
695,AB-08-134,-76.1513611,-0.634886968
696,AB-08-135,-76.14798436,-0.636920876
698,AB-08-139,-76.16517773,-0.631966252
700,AB-08-143,-76.15529171,-0.633324388
702,AB-08-145,-76.15534988,-0.633050479
703,AB-08-146,-76.16522885,-0.6317788
706,AB-08-147,-76.16638136,-0.631717141
709,AB-08-152,-76.15580541,-0.6364313
710,AB-08-153,-76.16165575,-0.63252524
712,AB-08-154,-76.15572327,-0.6358082
713,AB-08-155,-76.16416066,-0.6313362
714,AB-08-157,-76.15543719,-0.6360765
716,AB-08-161,-76.16789389,-0.632980081
717,AB-08-162,-76.16038397,-0.633023387
719,AB-08-164,-76.1547916,-0.632973537
721,AB-08-170,-76.15805528,-0.6337171
725,AB-08-187,-76.16033047,-0.6316249
726,AB-08-195,-76.16140528,-0.6288198
728,AB-08-201,-76.16593578,-0.6312909
729,AB-08-205,-76.1668546,-0.6371518
730,AB-08-210,-76.14902998,-0.6371341
731,AB-08-216,-76.1555765,-0.6332637
733,AB-08-218,-76.15039495,-0.635137021
734,AB-08-220,-76.15637563,-0.6368658
735,AB-08-224,-76.15600431,-0.636422
737,AB-08-225,-76.1544528,-0.633560844
738,AB-08-226,-76.15529453,-0.6321735
740,AB-08-232,-76.16819227,-0.6372526
742,AB-08-233,-76.1672068,-0.633117727
744,AB-08-235,-76.15617101,-0.638071604
745,AB-08-240,-76.14057867,-0.632280833
747,AB-08-242,-76.15570883,-0.634604859
748,AB-08-245,-76.16762976,-0.6349401
750,AB-08-253,-76.16725459,-0.6335286
752,AB-08-254,-76.16790121,-0.633190023
754,AB-08-263,-76.14966682,-0.633735136
755,AB-08-264,-76.15123501,-0.6349042
756,AB-08-304,-76.15431871,-0.633248
760,AB-08-309,-76.15533602,-0.6331091
761,AB-08-310,-76.16470414,-0.629915
762,AB-08-311,-76.15718147,-0.628505
764,AB-08-313,-76.15780994,-0.6271528
768,AB-08-320,-76.15583806,-0.630623837
769,AB-08-321,-76.15616952,-0.6310934
771,AB-08-322,-76.16424972,-0.633198177
773,AB-08-328,-76.1675379,-0.6316557
